ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,Date,ConNumAllcategories:Countryofbirth,ConNumEurope:UnitedKingdom:Total,ConNumEurope:UnitedKingdom:England,ConNumEurope:UnitedKingdom:NorthernIreland,ConNumEurope:UnitedKingdom:Scotland,ConNumEurope:UnitedKingdom:Wales,ConNumEurope:UnitedKingdomnototherwisespecified,ConNumEurope:ChannelIslandsandIsleofMan,ConNumEurope:Ireland,ConNumEurope:OtherEurope:Total,ConNumEurope:OtherEurope:EUCountries:Total,ConNumEurope:OtherEurope:RestofEurope:Total,ConNumAfrica:NorthAfrica,ConNumAfrica:CentralandWesternAfrica:Total,ConNumAfrica:SouthandEasternAfrica:Total,ConNumMiddleEastandAsia:MiddleEast:Total,ConNumMiddleEastandAsia:EasternAsia:Total,ConNumMiddleEastandAsia:SouthernAsia:Total,ConNumMiddleEastandAsia:South-EastAsia:Total,ConNumMiddleEastandAsia:CentralAsia,ConNumTheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,ConNumTheAmericasandtheCaribbean:CentralAmerica,ConNumTheAmericasandtheCaribbean:SouthAmerica,ConNumAntarcticaandOceania:Australia,ConNumAntarcticaandOceania:OtherAntarcticaandOceania,ConNumOther,Con%Allcategories:Countryofbirth,Con%Europe:UnitedKingdom:Total,Con%Europe:UnitedKingdom:England,Con%Europe:UnitedKingdom:NorthernIreland,Con%Europe:UnitedKingdom:Scotland,Con%Europe:UnitedKingdom:Wales,Con%Europe:UnitedKingdomnototherwisespecified,Con%Europe:ChannelIslandsandIsleofMan,Con%Europe:Ireland,Con%Europe:OtherEurope:Total,Con%Europe:OtherEurope:EUCountries:Total,Con%Europe:OtherEurope:RestofEurope:Total,Con%Africa:NorthAfrica,Con%Africa:CentralandWesternAfrica:Total,Con%Africa:SouthandEasternAfrica:Total,Con%MiddleEastandAsia:MiddleEast:Total,Con%MiddleEastandAsia:EasternAsia:Total,Con%MiddleEastandAsia:SouthernAsia:Total,Con%MiddleEastandAsia:South-EastAsia:Total,Con%MiddleEastandAsia:CentralAsia,Con%TheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,Con%TheAmericasandtheCaribbean:CentralAmerica,Con%TheAmericasandtheCaribbean:SouthAmerica,Con%AntarcticaandOceania:Australia,Con%AntarcticaandOceania:OtherAntarcticaandOceania,Con%Other,REG%Allcategories:Countryofbirth,REG%Europe:UnitedKingdom:Total,REG%Europe:UnitedKingdom:England,REG%Europe:UnitedKingdom:NorthernIreland,REG%Europe:UnitedKingdom:Scotland,REG%Europe:UnitedKingdom:Wales,REG%Europe:UnitedKingdomnototherwisespecified,REG%Europe:ChannelIslandsandIsleofMan,REG%Europe:Ireland,REG%Europe:OtherEurope:Total,REG%Europe:OtherEurope:EUCountries:Total,REG%Europe:OtherEurope:RestofEurope:Total,REG%Africa:NorthAfrica,REG%Africa:CentralandWesternAfrica:Total,REG%Africa:SouthandEasternAfrica:Total,REG%MiddleEastandAsia:MiddleEast:Total,REG%MiddleEastandAsia:EasternAsia:Total,REG%MiddleEastandAsia:SouthernAsia:Total,REG%MiddleEastandAsia:South-EastAsia:Total,REG%MiddleEastandAsia:CentralAsia,REG%TheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,REG%TheAmericasandtheCaribbean:CentralAmerica,REG%TheAmericasandtheCaribbean:SouthAmerica,REG%AntarcticaandOceania:Australia,REG%AntarcticaandOceania:OtherAntarcticaandOceania,REG%Other,uk%Allcategories:Countryofbirth,uk%Europe:UnitedKingdom:Total,uk%Europe:UnitedKingdom:England,uk%Europe:UnitedKingdom:NorthernIreland,uk%Europe:UnitedKingdom:Scotland,uk%Europe:UnitedKingdom:Wales,uk%Europe:UnitedKingdomnototherwisespecified,uk%Europe:ChannelIslandsandIsleofMan,uk%Europe:Ireland,uk%Europe:OtherEurope:Total,uk%Europe:OtherEurope:EUCountries:Total,uk%Europe:OtherEurope:RestofEurope:Total,uk%Africa:NorthAfrica,uk%Africa:CentralandWesternAfrica:Total,uk%Africa:SouthandEasternAfrica:Total,uk%MiddleEastandAsia:MiddleEast:Total,uk%MiddleEastandAsia:EasternAsia:Total,uk%MiddleEastandAsia:SouthernAsia:Total,uk%MiddleEastandAsia:South-EastAsia:Total,uk%MiddleEastandAsia:CentralAsia,uk%TheAmericasandtheCaribbean:NorthAmericasandtheCaribbean:Total,uk%TheAmericasandtheCaribbean:CentralAmerica,uk%TheAmericasandtheCaribbean:SouthAmerica,uk%AntarcticaandOceania:Australia,uk%AntarcticaandOceania:OtherAntarcticaandOceania,uk%Other,ConNumRoW,Con%RoW,Reg%RoW,UK%RoW
E14000554,Berwick-upon-Tweed,E12000001,North East,K02000001,United Kingdom,2011,75718,73315,67017,302,5603,389,4,20,177,1102,1039,63,36,49,203,69,95,187,133,2,199,3,39,68,20,1,1,0.968263821020101,0.885086769328297,0.003988483583824,0.073998256689295,0.005137483821548,5.28275971367442E-05,0.000264137985684,0.002337621173301,0.014554003011173,0.013721968356269,0.000832034654904,0.000475448374231,0.000647138064925,0.00268100055469,0.000911276050609,0.001254655431998,0.002469690166143,0.001756517604797,2.64137985683721E-05,0.002628172957553,3.96206978525582E-05,0.000515069072083,0.000898069151325,0.000264137985684,1.32068992841861E-05,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,1104,0.014580416809741,0.031789997712645,0.078930644018001
E14000569,Bishop Auckland,E12000001,North East,K02000001,United Kingdom,2011,87143,85041,83341,200,1202,292,6,20,157,981,926,55,35,24,183,49,110,181,121,4,128,4,23,63,19,0,1,0.975878728067659,0.956370563326945,0.00229507820479,0.013793420010787,0.003350814178993,6.88523461436948E-05,0.000229507820479,0.00180163639076,0.011257358594494,0.010626212088177,0.000631146506317,0.000401638685838,0.000275409384575,0.002099996557383,0.000562294160174,0.001262293012634,0.002077045775335,0.001388522313898,4.59015640957966E-05,0.001468850051065,4.59015640957966E-05,0.000263933993551,0.000722949634509,0.000218032429455,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,944,0.010832769126608,0.031789997712645,0.078930644018001
E14000574,Blaydon,E12000001,North East,K02000001,United Kingdom,2011,88281,86025,84356,195,1237,231,6,12,130,883,803,80,30,65,240,134,151,250,132,6,137,6,22,43,15,0,1,0.974445237367044,0.955539697103567,0.002208855812689,0.014012075078443,0.002616644578109,6.79647942365855E-05,0.000135929588473,0.001472570541793,0.010002152218484,0.009095954961996,0.000906197256488,0.000339823971183,0.000736285270896,0.002718591769463,0.001517880404617,0.001710447321621,0.002831866426524,0.001495225473205,6.79647942365855E-05,0.001551862801735,6.79647942365855E-05,0.000249204245534,0.000487081025362,0.000169911985591,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,1231,0.013944110284206,0.031789997712645,0.078930644018001
E14000575,Blyth Valley,E12000001,North East,K02000001,United Kingdom,2011,82174,80262,78206,216,1632,207,1,6,121,863,789,74,33,21,172,56,90,220,126,0,111,1,27,53,12,0,1,0.97673229975418,0.951712220410349,0.002628568647017,0.019860296444131,0.002519044953392,1.21692992917468E-05,7.30157957504807E-05,0.001472485214301,0.010502105288778,0.009601577141188,0.000900528147589,0.000401586876628,0.000255555285127,0.00209311947818,0.000681480760338,0.001095236936257,0.002677245844184,0.00153333171076,0,0.001350792221384,1.21692992917468E-05,0.000328571080877,0.000644972862463,0.000146031591501,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,922,0.011220093946991,0.031789997712645,0.078930644018001
E14000641,City of Durham,E12000001,North East,K02000001,United Kingdom,2011,94375,87713,84779,431,1909,589,5,115,295,2202,1936,266,187,131,405,382,918,571,484,14,650,18,86,142,62,0,1,0.929409271523179,0.898320529801325,0.004566887417219,0.020227814569537,0.006241059602649,5.29801324503311E-05,0.001218543046358,0.00312582781457,0.023332450331126,0.020513907284768,0.002818543046358,0.001981456953642,0.001388079470199,0.004291390728477,0.004047682119205,0.009727152317881,0.006050331125828,0.005128476821192,0.000148344370861,0.006887417218543,0.000190728476821,0.000911258278146,0.001504635761589,0.000656953642384,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,4050,0.042913907284768,0.031789997712645,0.078930644018001
E14000658,Darlington,E12000001,North East,K02000001,United Kingdom,2011,91417,86356,83491,375,2043,444,3,27,230,2414,2318,96,76,76,296,177,275,797,291,8,248,13,27,79,27,0,1,0.944638305785576,0.913298401828981,0.004102081669711,0.022348140936587,0.004856864696938,3.28166533576906E-05,0.000295349880219,0.00251594342409,0.026406467068488,0.025356334161042,0.001050132907446,0.000831355218395,0.000831355218395,0.003237909797959,0.001936182548104,0.003008193224455,0.008718290908693,0.003183215375696,8.75110756205082E-05,0.002712843344236,0.000142205497883,0.000295349880219,0.000864171871753,0.000295349880219,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,2390,0.026143933841627,0.031789997712645,0.078930644018001
E14000677,Easington,E12000001,North East,K02000001,United Kingdom,2011,82769,80951,79869,161,750,170,1,15,95,966,911,55,44,13,141,50,87,182,95,5,72,3,14,26,10,0,1,0.978035254745134,0.964962727591248,0.001945172709589,0.009061363553988,0.002053909072237,1.20818180719835E-05,0.00018122727108,0.001147772716838,0.011671036257536,0.011006536263577,0.000664499993959,0.000531599995167,0.000157063634936,0.00170353634815,0.000604090903599,0.001051118172263,0.002198890889101,0.001147772716838,6.04090903599174E-05,0.000869890901183,3.62454542159504E-05,0.000169145453008,0.000314127269872,0.00012081818072,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,742,0.008964709009412,0.031789997712645,0.078930644018001
E14000709,Gateshead,E12000001,North East,K02000001,United Kingdom,2011,94506,87393,85484,315,1356,234,4,17,250,2660,2336,324,124,317,553,1051,586,786,300,15,278,17,69,58,31,1,1,0.924734937464288,0.90453516178867,0.003333121706558,0.014348295346327,0.002476033267729,4.23253550039151E-05,0.000179882758767,0.002645334687745,0.028146361077604,0.024718007322287,0.003428353755317,0.001312086005121,0.00335428438406,0.005851480329291,0.011120987027279,0.006200664508074,0.008316932258269,0.003174401625294,0.000158720081265,0.002941612172772,0.000179882758767,0.000730112373818,0.000613717647557,0.00032802150128,1.05813387509788E-05,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,4186,0.044293484011597,0.031789997712645,0.078930644018001
E14000733,Hartlepool,E12000001,North East,K02000001,United Kingdom,2011,92028,89469,87982,175,1060,251,1,6,145,929,869,60,51,56,229,92,174,427,254,2,94,6,12,59,23,0,1,0.972193245533968,0.956035119746164,0.001901595166688,0.011518233581084,0.002727430781936,1.08662580953623E-05,6.51975485721737E-05,0.001575607423828,0.010094753770592,0.00944277828487,0.000651975485722,0.000554179162863,0.00060851045334,0.002488373103838,0.000999695744773,0.001890728908593,0.00463989220672,0.002760029556222,2.17325161907246E-05,0.001021428260964,6.51975485721737E-05,0.000130395097144,0.000641109227626,0.000249923936193,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,1479,0.016071195723041,0.031789997712645,0.078930644018001
E14000746,Hexham,E12000001,North East,K02000001,United Kingdom,2011,76236,73589,70438,316,2345,480,10,28,182,894,805,89,36,46,293,74,103,321,213,1,258,4,53,102,39,0,1,0.965278870874653,0.923946691851619,0.004145023348549,0.030759746051734,0.006296237997796,0.000131171624954,0.000367280549871,0.002387323574164,0.011726743270896,0.010559315808804,0.001167427462091,0.000472217849835,0.000603389474789,0.003843328611155,0.00097067002466,0.001351067737027,0.004210609161026,0.002793955611522,1.3117162495409E-05,0.003384227923816,5.2468649981636E-05,0.000695209612257,0.001337950574532,0.000511569337321,0,1,0.950489547866175,0.925674057313259,0.003593149641532,0.017762427769259,0.003404847190058,5.50659520672067E-05,0.000246063939657,0.002151037819912,0.015323352661611,0.013799989679948,0.001523362981663,0.001199128494666,0.001979678738304,0.003616639313393,0.003514979094192,0.004349054983546,0.009957695486055,0.003479552048107,7.12391687582743E-05,0.002067861276929,9.39586874433456E-05,0.000447844071707,0.000702379696298,0.000308831423482,1.15522976364769E-06,1,0.873485209705813,0.718668815120618,0.029446531583637,0.081677415425597,0.043565402256314,0.000127045319647,0.000449588806514,0.007409399530355,0.039725157939316,0.035070934085242,0.004654223854075,0.002154104279216,0.006529578641623,0.012919560955939,0.004870661470391,0.005564591331435,0.026646454004799,0.005635339129968,0.000157212054323,0.008687608078341,0.000244879180961,0.002381177806185,0.001999234657596,0.001138501429944,1.74099727932772E-06,1543,0.020239781730416,0.031789997712645,0.078930644018001
